year,species,three,two,one,threep,twop,onep,sthree,stwo,sone,n
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,0,1,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,1,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,0,1,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,1,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,1,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,1,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,1,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,1,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,1,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,1,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,1,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,0,1,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,1,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,1,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,1,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,1,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,1,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,1,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,0,1,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,0,1,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,1,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,1,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,1,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,0,1,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,1,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,1,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,0,1,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,0,1,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,1,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,1,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,0,1,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,1,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,1,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,1,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,1,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,0,1,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,0,1,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,1,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,1,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,1,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,1,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,1,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,1,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,1,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,1,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,1,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,0,1,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,1,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,1,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,1,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,1,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,1,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,1,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,1,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,1,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,0,1,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,1,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,1,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,1,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,1,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,1,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,1,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,1,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,1,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,0,1,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,1,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,0,1,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,0,1,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,0,1,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,0,1,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,1,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,0,1,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,0,1,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,0,1,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,1,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,1,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,1,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,1,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,1,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,1,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,1,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,1,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,1,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,1,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,0,1,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,1,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,1,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,1,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,1,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,1,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,1,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,1,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,1,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,1,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,1,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,1,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,0,1,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,1,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,0,1,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,1,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,1,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,1,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,1,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,1,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,1,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,1,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,1,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,1,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,1,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,0,1,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
2008,dusk,1,0,0,0.5287671232876713,0.3863013698630137,0.08493150684931507,193,141,31,365
